Date,# Entire,# Non-Retweets
2017-04-21,855,383
2017-04-22,1190,1021
2017-04-23,1533,770
2017-04-24,3596,1742
2017-04-25,12659,4596
2017-04-26,3957,2308
2017-04-27,4771,2387
2017-04-28,4483,1374
2017-04-29,1257,541
2017-04-30,970,469
2017-05-01,719,431
2017-05-02,734,353
2017-05-03,567,226
2017-05-11,655,200
2017-05-12,384,189
2017-05-13,874,392
2017-05-14,609,351
2017-05-15,327,184
2017-05-16,273,168
2017-05-17,992,548
2017-05-18,741,413
2017-05-19,629,128
2017-05-20,421,261
2017-05-21,1186,791
2017-05-22,1445,733
2017-05-23,5095,1425
2017-05-24,2142,1132
2017-05-25,1607,1052
,,